Key,Description,Standard,fr
SAY.cinna flowchart.1052.,,"She opens her mouth wide to smile, and for the first time, I see how much she is salivating.","Elle ouvre grand la bouche pour sourire, et pour la première fois, je remarque à quel point elle salive."
SAY.cinna flowchart.1054.,,"She grabs me by the shoulder and drags me over to the bed, throwing me against it.{wc}I whimper in pain as my body hits the mattress, but I don't dare move.","Elle m'attrape par l'épaule et me traîne jusqu'au lit, où elle me jette violemment.{wc}Je gémis de douleur lorsque mon corps heurte le matelas, mais je n'ose pas bouger."
SAY.cinna flowchart.1056.,,"So I lie there, completely still, as she crawls up onto the bed, kneeling over me.","Je reste donc allongée là, immobile, tandis qu'elle grimpe sur le lit et s'agenouille au-dessus de moi."
SAY.cinna flowchart.1057.,,"She leans forwards until her face is only a few inches from mine, her arms and legs against the bed, standing all fours like some savage beast.{wc}She opens her mouth wide, revealing an impossibly sharp pair of canines, and I brace myself. Then she stops.","Elle se penche en avant jusqu’à ce que son visage ne soit plus qu’à quelques centimètres du mien, les bras et les jambes appuyés contre le lit, à quatre pattes comme une bête sauvage.{wc}Elle ouvre grand la bouche, dévoilant une paire de canines incroyablement acérées, je me prépare au pire. Puis, elle s’arrête."
SAY.cinna flowchart.1058.,,"Mary closes her mouth, and smiles at me.",Mary ferme la bouche et me sourit.
SAY.cinna flowchart.1163.Mary,,"Sorry. This will hurt a bit. Just bear with it, okay?","Désolée. Ça va faire un peu mal. Tiens bon, d'accord ?"
SAY.cinna flowchart.1065.,,Then she leans forward and bites my neck.,"Ensuite, elle se penche en avant et me mord le cou."
SAY.cinna flowchart.1066.,,"The pain is unimaginable, like a red-hot brand being driven into my shoulder.","La douleur est inimaginable, comme si on m'enfonçait un fer chauffé dans l'épaule."
SAY.cinna flowchart.1067.,,"Worse is the feeling of my blood leaving my body, like my insides are spilling out.","Je peux ressentir mon sang quitter mon corps, comme si mes entrailles se déversaient."
SAY.cinna flowchart.1068.,,"But the worst are the sounds. Mary snarling, growling, my screams filling the room from wall to wall.","Mais le pire, ce sont les bruits. Mary qui grogne, qui gémit, et mes cris qui résonnent dans toute la pièce."
SAY.cinna flowchart.1069.,,"And the loudest, a hideous slurping, gulping sound.",Et le plus bruyant : un bruit hideux de succion et de déglutition.
SAY.cinna flowchart.1070.,,"I watch in disbelief as her body thrashes, and her skin almost starts to glow, its colour slowly returning.{wc}I see small hairline cracks across her body, ones that I had never noticed before, binding before my eyes.","Je la regarde, incrédule, tandis que son corps se tord de tous côtés et que sa peau commence presque à rayonner, retrouvant peu à peu sa couleur.{wc}Je vois de fines cicatrices, que je n'avais jamais remarquées auparavant, se refermer sous mes yeux."
SAY.cinna flowchart.1071.,,"Her hands find mine and our fingers lock together.{wc}She presses me down against the bed, and I can feel myself being almost crushed under her weight.",Ses mains trouvent les miennes et nos doigts s'entrelacent.{wc}Elle me plaque contre le lit. J'ai l'impression d'être presque écrasé sous son poids.
SAY.cinna flowchart.1072.,,My vision is blurring. Sound is receding from the world. My breath is coming up short. And then...,Ma vue se trouble. Les sons s'éloignent peu à peu. J'ai du mal à respirer. Puis…
SAY.cinna flowchart.1073.,,"Then, Mary lets go of me. The pain fades somewhat.","Puis, Mary me lâche. La douleur s'atténue un peu."
SAY.cinna flowchart.1168.,,"She sits up, and wipes my blood from her mouth with one hand.",Elle se redresse et essuie d'une main mon sang sur sa bouche. 
SAY.cinna flowchart.1079.Mary,,"Thanks, honey. You have no idea how much I needed that.","Merci, chérie. Tu n'as pas idée à quel point j'en avais besoin."
SAY.cinna flowchart.1081.,,"Then she clambers off the bed, and leaves me there, my arms and chest sore, my clothes a mess, my shoulder still slowly bleeding.","Ensuite, elle descend du lit et me laisse là, les bras et la poitrine endoloris, mes vêtements débraillés, et mon épaule qui saigne encore."
SAY.cinna flowchart.1082.,,"As quietly as I can, I start to cry.","En faisant le moins de bruit possible, je me mets à pleurer."
SAY.cinna flowchart.1083.,,...,...
SAY.cinna flowchart.1085.,,"Some time passes, and Mary returns. She applies a poultice to the wound on my shoulder, and bandages it up.{wc}She apologises profusely the entire time. I barely hear her words.","Le temps passe, puis Mary revient. Elle applique un cataplasme sur la blessure à mon épaule et me fait un bandage.{wc}Elle ne cesse de s'excuser en le faisant. J'entends à peine ce qu'elle me dit."
SAY.cinna flowchart.1086.,,"I only find the strength to leave my bed hours later, as noon approaches.{wc}When I step out into the hall, I find it empty.","Ce n'est que plusieurs heures plus tard, alors que midi approche, que je trouve enfin la force de sortir de mon lit.{wc}Lorsque j'entre dans le couloir, je constate qu'il est désert."
SAY.cinna flowchart.1203.,,"The door to the workroom is closed, and, from the sound of it, Mary is in there now, working away.","La porte de l'atelier est fermée et, à en juger par le bruit, Mary est à l'intérieur, en train de travailler d'arrache-pied."
SAY.cinna flowchart.1088.,,"Suddenly struck by the desire to be anywhere but here, I find myself wandering out of the house and down that familiar dirt road.{wc}My legs almost move on their own.{wc}As I near the edge of the forest, I notice something in the distance, faintly visible between the trees.","Soudain prise d'une envie irrépressible d'être n'importe où ailleurs qu'ici, je me retrouve à sortir de la maison et à descendre ce chemin de terre que je connais si bien.{wc}Mes jambes semblent presque avancer toutes seules.{wc}Alors que j'approche de la lisière de la forêt, j'aperçois quelque chose au loin, à peine visible entre les arbres."
SAY.cinna flowchart.1089.,,"As I get closer, I make out what remains of a house, burned almost to the ground.{wc}Support beams stick out of the dirt like the ribcage of some great beast, charred as black as coal.{wc}I walk towards it, overcome by curiosity, but as I near the ruin, I suddenly hear a voice.","En m'approchant, j'aperçois les restes d'une maison, presque entièrement réduite en cendres.{wc}Des poutres de soutien jaillissent du sol comme la cage thoracique d'une immense bête, carbonisées et noires comme du charbon.{wc}Je m'avance vers elles, poussée par la curiosité, mais alors que j'atteins les ruines, j'entends une voix."
SAY.cinna flowchart.1092.Priest,,"Are you lost, dear?","Es-tu perdue, ma chère ?"
SAY.cinna flowchart.1093.,,"An unfamiliar man in priestly garb is standing to my right. From his tranquil posture, he looks to have been standing there for a while.","Un homme inconnu, vêtu d'une tenue sacerdotale, se tient à ma droite. À en juger par son attitude sereine, on dirait qu'il est là depuis un certain temps."
SAY.cinna flowchart.1096.Hazel,,No. I'm fine.,Non. Je vais bien.
SAY.cinna flowchart.1097.,,He is clearly unconvinced.,Il n'est manifestement pas convaincu.
SAY.cinna flowchart.1103.Priest,,"Are you alright, child? You look shaken.","Tu es sûre d'aller bien, mon enfant ? Tu as l'air bouleversée."
SAY.cinna flowchart.1101.Hazel,,"I said, I'm {i}fine{/i}. And I'm not a child.",J'ai dit que j'allais {i}bien{/i}. Et je ne suis pas une enfant.
SAY.cinna flowchart.1171.Priest,,I apologise. I did not mean to demean you.,Je te présente mes excuses. Je n'avais pas l'intention de te blesser.
SAY.cinna flowchart.1105.Priest,,"It is simply that, before the majesty of God, we are all children, each and every one of us.","C'est juste que, face à la majesté de Dieu, nous sommes tous des enfants. Chacun d'entre nous sans exception."
SAY.cinna flowchart.1107.Priest,,"Here, I have something for you.","Tiens, j'ai quelque chose pour toi."
SAY.cinna flowchart.1109.,,"He reaches into his pocket and pulls out a sprig of lavender, pressing it into my palm.","Il plonge la main dans sa poche, en sort un brin de lavande et me le glisse dans la paume."
SAY.cinna flowchart.1111.Priest,,The smell should calm your nerves. And it does wonders when mixed into a tea.,Son parfum devrait t'apaiser. Et il fait des merveilles lorsqu'on l'ajoute à une tisane.
SAY.cinna flowchart.1113.,,"I lift the lavender to my nose and inhale. It helps to distract me, at least.",Je porte la lavande à mon nez et respire son parfum. Ça m'aide au moins à me changer les idées.
SAY.cinna flowchart.1117.Hazel,,Thanks.,Merci.
SAY.cinna flowchart.1119.Hazel,,What are you doing out here?,Qu'est-ce que vous faites ici ?
SAY.cinna flowchart.1121.Priest,,I could ask the same of you.,Je pourrais te poser la même question.
SAY.cinna flowchart.1123.Hazel,,I— I don't really know. There's just something about this house...,Je… Je ne sais pas trop. Il y a juste quelque chose à propos de cette maison…
SAY.cinna flowchart.1125.Priest,,"Yes, this place was once home to a grievous tragedy.","Oui, cet endroit a autrefois été le théâtre d'une terrible tragédie."
SAY.cinna flowchart.1127.Priest,,I try to visit at least once a year to pay my respects.,J'essaie de m'y rendre au moins une fois par an pour me recueillir.
SAY.cinna flowchart.1129.Hazel,,What tragedy?,Quelle tragédie ?
SAY.cinna flowchart.1132.Priest,,The fear of witchcraft is an all-too-common malady in recent times.,La peur de la sorcellerie est un mal bien trop répandu ces derniers temps.
SAY.cinna flowchart.1134.Priest,,"Even a decade ago, fear had these people in an iron grip.","Il y a dix ans encore, la peur tenait ces gens d'une étreinte de fer."
SAY.cinna flowchart.1136.Priest,,"Two women used to live here, kind souls both of them. They were happy to provide food and shelter for travelers who needed it.","Deux femmes vivaient ici autrefois, toutes deux possédaient une grande bonté. Elles étaient toujours ravies d’offrir le gîte et le couvert aux voyageurs qui en avaient besoin."
SAY.cinna flowchart.1138.Priest,,I found myself enjoying their hospitality on several occasions.,J'ai moi-même eu l'occasion de profiter de leur hospitalité à plusieurs reprises.
SAY.cinna flowchart.1140.Priest,,"Of the two women, one of them... Eleanor, I think she was called.","Parmi ces deux femmes, l'une d'elles… Eleanor, il me semble."
SAY.cinna flowchart.1142.Priest,,"She worked in the nearby village, at her family's tailor shop.","Elle travaillait dans le village voisin, à l'atelier de couture de sa famille."
SAY.cinna flowchart.1144.Priest,,"The other woman worked as a doctor, producing and developing cures and remedies.",L'autre femme était médecin. Elle mettait au point et développait des traitements et des remèdes.
SAY.cinna flowchart.1146.Priest,,I suppose that was the problem.,"Je suppose que c'était ça, le problème."
SAY.cinna flowchart.1148.Priest,,"Eleanor told me once that her father could never get out of his mind the thought that she was being stolen away, every time she left the village.",Eleanor m'a dit un jour que son père ne pouvait s'empêcher de penser qu'on la lui enlevait chaque fois qu'elle quittait le village.
SAY.cinna flowchart.1150.Priest,,"I heard several that even though the other woman was quite the talented doctor, many of the villagers didn't trust her skills.","J'ai entendu dire à plusieurs reprises que, même si cette autre femme était une médecin très compétente, de nombreux villageois n'avaient pas confiance en ses compétences."
SAY.cinna flowchart.1152.Priest,,"The idea that someone other than God could have such power over life and death, over {i}their{/i} life and death..., to them, it was terrifying.","L'idée que quelqu'un d'autre que Dieu puisse avoir un tel pouvoir sur la vie et la mort, sur {i}leur{/i} vie et leur mort..., cela leur semblait terrifiant."
SAY.cinna flowchart.1154.Priest,,Hatred requires but a small seed to bloom.,Il suffit d'une petite graine pour que la haine s'épanouisse.
SAY.cinna flowchart.1155.,,I look back at the house and shiver. What happened here? And why does it sound so familiar?,Je jette un regard vers la maison et je frissonne. Que s'est-il passé ici ? Et pourquoi cela me semble-t-il si familier ?
CHARACTER.Mary,,Mary,Mary
CHARACTER.Hazel,,Hazel,Hazel
CHARACTER.Old Man,,Old Man,Vieil homme
CHARACTER.Adrianne,,Adrianne,Adrianne
CHARACTER.???,,???,???
CHARACTER.Duke,,Duke,Duc
CHARACTER.Priest,,Priest,Prêtre
CHARACTER.Reginald,,Reginald,Reginald
CHARACTER.Note,,Note,Mot
CHARACTER.Vendor,,Vendor,Vendeuse
CHARACTER.Crier,,Crier,Crieur
